player,playerLabel,dateOfBirth,teamLabels,awardLabels
http://www.wikidata.org/entity/Q186156,Svetislav Pešić,1949-08-28T00:00:00Z,"KK Partizan, KK Bosna, KK Pirot",Order of Merit of Berlin
http://www.wikidata.org/entity/Q188018,Nick Nolte,1941-02-08T00:00:00Z,Eastern Arizona Gila Monsters men's basketball,"Golden Globe Award for Best Actor – Motion Picture Drama, star on Hollywood Walk of Fame"
http://www.wikidata.org/entity/Q189240,Kevin Garnett,1976-05-19T00:00:00Z,"Boston Celtics, Minnesota Timberwolves, Brooklyn Nets","NBA All-Star Game Kobe Bryant Most Valuable Player Award, NBA Most Valuable Player Award, All-NBA Team, NBA Defensive Player of the Year Award, Best NBA Player ESPY Award, NBA All-Defensive Team, J. Walter Kennedy Citizenship Award"
http://www.wikidata.org/entity/Q190094,Allen Iverson,1975-06-07T00:00:00Z,"Philadelphia 76ers, Denver Nuggets, Memphis Grizzlies, Detroit Pistons, Beşiktaş men's basketball team, Georgetown Hoyas men's basketball","NBA All-Star Game Kobe Bryant Most Valuable Player Award, NBA Most Valuable Player Award, NBA Rookie of the Year Award, All-NBA Team, BET Award for Athlete of the Century, Q107283826"
http://www.wikidata.org/entity/Q190152,Larry Bird,1956-12-07T00:00:00Z,"Boston Celtics, Indiana Pacers, Indiana State Sycamores men's basketball, Indiana Hoosiers men's basketball, Indiana State Sycamores baseball","NBA All-Star Game Kobe Bryant Most Valuable Player Award, NBA Most Valuable Player Award, NBA Executive of the Year Award, NBA Rookie of the Year Award, All-NBA Team, Bill Russell NBA Finals Most Valuable Player Award, Associated Press Athlete of the Year, NBA Coach of the Year Award, NBA All-Rookie Team, John R. Wooden Award, Library of Congress Living Legend"
http://www.wikidata.org/entity/Q193052,Pau Gasol,1980-07-06T00:00:00Z,"FC Barcelona Lassa, Los Angeles Lakers, Chicago Bulls, San Antonio Spurs, Memphis Grizzlies, Portland Trail Blazers, Milwaukee Bucks, Spain men's national basketball team","J. Walter Kennedy Citizenship Award, Princess of Asturias Award for Sports, FIBA EuroBasket MVP, Catalan of the year Award, Medal of Work Merit, Esportista català de l'any, Gold Medal of the Royal Order of Sports Merit, Gold Medal of Work Merit, Galardón Camino Real, NBA Rookie of the Year Award, Saint George's Cross, NBA All-Rookie Team"
http://www.wikidata.org/entity/Q193108,Tony Parker,1982-05-17T00:00:00Z,"ASVEL Lyon-Villeurbanne, San Antonio Spurs, Charlotte Hornets, Paris Basket Racing","Knight of the Legion of Honour, Officer of the National Order of Merit, Champion des champions français de L'Équipe"
http://www.wikidata.org/entity/Q192707,Charles Barkley,1963-02-20T00:00:00Z,"Philadelphia 76ers, Houston Rockets, Phoenix Suns, Auburn Tigers men's basketball","NBA All-Star Game Kobe Bryant Most Valuable Player Award, NBA Most Valuable Player Award, All-NBA Team, Best NBA Player ESPY Award, NBA All-Rookie Team, 1984 NCAA Men's Basketball All-Americans, Southeastern Conference Men's Basketball Player of the Year"
http://www.wikidata.org/entity/Q192955,Steve Nash,1974-02-07T00:00:00Z,"Los Angeles Lakers, Dallas Mavericks, Phoenix Suns, Santa Clara Broncos men's basketball","NBA Most Valuable Player Award, West Coast Conference Men's Basketball Player of the Year, All-NBA Team, Canada's Walk of Fame, Best NBA Player ESPY Award, J. Walter Kennedy Citizenship Award, Officer of the Order of Canada"
http://www.wikidata.org/entity/Q193020,Tim Duncan,1976-04-25T00:00:00Z,"San Antonio Spurs, Wake Forest Demon Deacons men's basketball","NBA All-Star Game Kobe Bryant Most Valuable Player Award, NBA Most Valuable Player Award, NBA Rookie of the Year Award, All-NBA Team, Bill Russell NBA Finals Most Valuable Player Award, Best NBA Player ESPY Award, NBA All-Rookie Team, NBA All-Defensive Team, John R. Wooden Award, Sports Illustrated Sportsperson of the Year, Twyman–Stokes Teammate of the Year Award, Best Male College Basketball Player ESPY Award"
